date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:56	2343/2343	---M--	200	added ('OK')	image/png	etag:W/%22927-17fd258105d%22	https://www.lordz.io/TemplateData/progressLogo.Dark.png	C:/My%20Web%20Sites/lord/www.lordz.io/TemplateData/progressLogo.Dark.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:56	155/155	---M--	200	added ('OK')	image/png	etag:W/%229b-17fd258105d%22	https://www.lordz.io/TemplateData/progressEmpty.Dark.png	C:/My%20Web%20Sites/lord/www.lordz.io/TemplateData/progressEmpty.Dark.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:56	137/137	---M--	200	added ('OK')	image/png	etag:W/%2289-17fd258105d%22	https://www.lordz.io/TemplateData/progressFull.Dark.png	C:/My%20Web%20Sites/lord/www.lordz.io/TemplateData/progressFull.Dark.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:56	202570/202570	---M--	200	added ('OK')	image/png	etag:W/%223174a-17fd258105d%22	https://www.lordz.io/TemplateData/background.png	C:/My%20Web%20Sites/lord/www.lordz.io/TemplateData/background.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Nov%202022%2002:31:56%20GMT	http://lordz.io/images/discord-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/discord-icon.19.delayed	(from https://www.lordz.io/TemplateData/style.css)
22:31:58	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2002:31:57%20GMT	https://lordz.io/images/discord-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/discord-icon.1a.delayed	(from https://www.lordz.io/TemplateData/style.css)
22:31:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Nov%202022%2002:31:57%20GMT	http://lordz.io/images/twitter-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/twitter-icon.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:58	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2002:31:58%20GMT	https://lordz.io/images/twitter-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/twitter-icon.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Nov%202022%2002:31:58%20GMT	http://lordz.io/images/facebook-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/facebook-icon.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:59	163/163	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2002:31:58%20GMT	https://lordz.io/images/facebook-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/facebook-icon.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Nov%202022%2002:31:58%20GMT	http://lordz.io/images/youtube-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/youtube-icon.png	(from https://www.lordz.io/TemplateData/style.css)
22:31:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2002:31:59%20GMT	https://lordz.io/images/youtube-icon.png	C:/My%20Web%20Sites/lord/lordz.io/images/youtube-icon.png	(from https://www.lordz.io/TemplateData/style.css)
